workflow_id,workflow_name,sequence,skill,human_gate
dim-investment-committee,DIM Investment Committee Workflow,1,danantara-master-orchestrator,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,2,intent-and-entity-router,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,3,investment-mandate-interpreter,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,4,opportunity-screening,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,5,investment-thesis-builder,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,6,evidence-retrieval-orchestrator,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,7,commercial-due-diligence,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,8,financial-due-diligence,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,9,legal-tax-due-diligence,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,10,technical-operational-due-diligence,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,11,esg-impact-due-diligence,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,12,integrity-counterparty-due-diligence,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,13,valuation-orchestrator,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,14,dcf-model-challenger,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,15,risk-adjusted-return-analyzer,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,16,portfolio-diversification-analyzer,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,17,deal-structuring-optimizer,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,18,co-investment-crowding-in,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,19,dual-mandate-balancer,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,20,investment-thesis-red-team,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,21,investment-committee-memo,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,22,decision-quality-gate,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,23,human-approval-orchestrator,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,24,audit-trail-packager,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,25,conditions-precedent-tracker,DIM Investment Committee or formally delegated authority
dim-investment-committee,DIM Investment Committee Workflow,26,post-investment-monitor,DIM Investment Committee or formally delegated authority
dam-value-creation,DAM Active Ownership and Value Creation,1,danantara-master-orchestrator,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,2,bumn-portfolio-segmenter,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,3,corporate-parenting-advantage,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,4,financial-performance-diagnostic,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,5,operational-excellence-diagnostic,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,6,benchmark-intelligence-manager,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,7,value-creation-plan-builder,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,8,capital-allocation-reviewer,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,9,ceo-transformation-challenger,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,10,talent-meritocracy-assessor,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,11,management-accountability-contract,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,12,scenario-stress-testing,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,13,prudence-and-downside-gate,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,14,decision-quality-gate,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,15,human-approval-orchestrator,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,16,workflow-state-manager,"DAM portfolio committee, shareholder, board, or delegated authority"
dam-value-creation,DAM Active Ownership and Value Creation,17,post-decision-learning,"DAM portfolio committee, shareholder, board, or delegated authority"
ddmf-bankability,DDMF Project Readiness and Bankability,1,danantara-master-orchestrator,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,2,national-priority-alignment,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,3,project-readiness-gate,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,4,document-evidence-extractor,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,5,technical-operational-due-diligence,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,6,legal-sufficiency-checker,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,7,esg-impact-due-diligence,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,8,bankability-gap-analyzer,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,9,additionality-assessor,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,10,project-finance-structurer,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,11,ppp-risk-allocation,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,12,blended-finance-designer,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,13,viability-gap-support-assessor,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,14,catalytic-capital-optimizer,DDMF investment/project authority and any competent public authority
ddmf-bankability,DDMF Project Readiness and Bankability,15,co-investment-crowding-in,DDMF investment/project authority and any competent public authority
