cluster,name,description,entity,risk_tier,human_approval,dependencies,purpose
01-governance-doctrine,danantara-way-governance,"Applies the Danantara Way doctrines—commercial discipline, national consequence, active ownership, prudence, transparency, measurable transformation, sovereignty, and intergenerational value. Use when framing, assessing, challenging, or approving any material Danantara decision.",BPI/DAM/DIM/DDMF,critical,Mandatory for material decisions,,"Applies the Danantara Way doctrines—commercial discipline, national consequence, active ownership, prudence, transparency, measurable transformation, sovereignty, and intergenerational value."
01-governance-doctrine,danantara-ai-constitution,"Enforces enterprise AI principles, authority boundaries, confidentiality, evidence standards, human accountability, prohibited actions, and escalation rules. Use for every AI-enabled workflow that handles Danantara information, analysis, recommendations, or decisions.",BPI,critical,AI Governance Committee,,"Enforces enterprise AI principles, authority boundaries, confidentiality, evidence standards, human accountability, prohibited actions, and escalation rules. Use for every AI-enabled workflow that handles Danantara information, analysis, recommendations, or decisions."
01-governance-doctrine,mandate-authority-interpreter,"Interprets the applicable mandate, legal authority, delegated power, and institutional boundary for a proposed action. Use when responsibility among BPI, DAM, DIM, DDMF, BUMN, boards, committees, or government stakeholders is unclear.",BPI,critical,Legal/governance owner,,"Interprets the applicable mandate, legal authority, delegated power, and institutional boundary for a proposed action."
01-governance-doctrine,decision-rights-checker,"Identifies who proposes, reviews, recommends, approves, executes, monitors, and bears accountability for a decision. Use before issuing recommendations, commitments, capital allocations, corporate actions, disclosures, or binding instructions.",BPI/DAM/DIM/DDMF,critical,Authorized decision owner,mandate-authority-interpreter,"Identifies who proposes, reviews, recommends, approves, executes, monitors, and bears accountability for a decision. Use before issuing recommendations, commitments, capital allocations, corporate actions, disclosures, or binding instructions."
01-governance-doctrine,conflict-of-interest-gate,"Detects actual, potential, and perceived conflicts of interest, related parties, hidden beneficiaries, influence channels, and recusal needs. Use for appointments, procurement, investments, partnerships, restructuring, transactions, and material exceptions.",BPI/DAM/DIM/DDMF,critical,Independent governance reviewer,,"Detects actual, potential, and perceived conflicts of interest, related parties, hidden beneficiaries, influence channels, and recusal needs. Use for appointments, procurement, investments, partnerships, restructuring, transactions, and material exceptions."
01-governance-doctrine,prudence-and-downside-gate,"Tests capital preservation, permanent-loss risk, downside scenarios, reversibility, liquidity, and risk ownership. Use before committing capital, extending support, changing strategy, accepting guarantees, or approving high-uncertainty initiatives.",BPI/DAM/DIM/DDMF,critical,Risk owner and approving authority,,"Tests capital preservation, permanent-loss risk, downside scenarios, reversibility, liquidity, and risk ownership. Use before committing capital, extending support, changing strategy, accepting guarantees, or approving high-uncertainty initiatives."
01-governance-doctrine,transparency-disclosure-gate,"Determines what material information, assumptions, risks, decisions, and performance must be documented or disclosed while preserving lawful confidentiality. Use for board papers, investor materials, public statements, financial reporting, and major decisions.",BPI/DAM/DIM/DDMF,high,Disclosure/legal owner,,"Determines what material information, assumptions, risks, decisions, and performance must be documented or disclosed while preserving lawful confidentiality. Use for board papers, investor materials, public statements, financial reporting, and major decisions."
01-governance-doctrine,strategic-confidentiality-classifier,"Classifies information by sensitivity, strategic importance, legal restriction, market impact, personal data, and national-security relevance. Use before retrieval, sharing, model processing, cross-border transfer, publication, or external collaboration.",BPI/DAM/DIM/DDMF,critical,Information owner,,"Classifies information by sensitivity, strategic importance, legal restriction, market impact, personal data, and national-security relevance. Use before retrieval, sharing, model processing, cross-border transfer, publication, or external collaboration."
01-governance-doctrine,integrity-beneficiary-check,"Tests whether a proposal is lawful, ethical, independently supportable, and free from concealed beneficiaries, side arrangements, or improper advantage. Use when a transaction or instruction appears formally compliant but substantively questionable.",BPI/DAM/DIM/DDMF,critical,Ethics/compliance owner,,"Tests whether a proposal is lawful, ethical, independently supportable, and free from concealed beneficiaries, side arrangements, or improper advantage."
01-governance-doctrine,long-term-value-test,"Assesses whether a decision creates durable economic, strategic, capability, resilience, and intergenerational value over 10–20 years. Use when short-term earnings, political urgency, or temporary market conditions could distort the decision.",BPI/DAM/DIM/DDMF,high,Strategy and investment owner,,"Assesses whether a decision creates durable economic, strategic, capability, resilience, and intergenerational value over 10–20 years."
01-governance-doctrine,dual-mandate-balancer,"Balances commercially disciplined return with measurable national impact without disguising subsidy, bailout, or weak economics. Use when return, resilience, employment, sovereignty, industrialization, or public-service outcomes must be evaluated together.",BPI/DIM/DDMF,critical,Investment committee or mandated authority,,"Balances commercially disciplined return with measurable national impact without disguising subsidy, bailout, or weak economics."
01-governance-doctrine,vocabulary-and-narrative-guard,"Enforces Danantara preferred vocabulary and flags unsupported phrases, vague synergies, informal-instruction logic, unmeasured national impact, bailout framing, and narrative-only decisions. Use when drafting or reviewing any formal Danantara output.",BPI/DAM/DIM/DDMF,medium,Document owner,,"Enforces Danantara preferred vocabulary and flags unsupported phrases, vague synergies, informal-instruction logic, unmeasured national impact, bailout framing, and narrative-only decisions."
02-orchestration,danantara-master-orchestrator,"Routes complex Danantara requests across governance, DAM, DIM, DDMF, functional, sector, and assurance skills; sequences evidence, analysis, challenge, approval, and audit steps. Use for multi-domain, material, ambiguous, or end-to-end workflows.",BPI/DAM/DIM/DDMF,critical,Workflow accountable executive,danantara-ai-constitution;danantara-way-governance;intent-and-entity-router;decision-quality-gate,"Routes complex Danantara requests across governance, DAM, DIM, DDMF, functional, sector, and assurance skills; sequences evidence, analysis, challenge, approval, and audit steps. Use for multi-domain, material, ambiguous, or end-to-end workflows."
02-orchestration,intent-and-entity-router,"Classifies user intent, affected entity, decision type, process stage, materiality, sensitivity, and required skill family. Use as the first routing step for requests that may involve BPI, DAM, DIM, DDMF, BUMN, or multiple functions.",BPI/DAM/DIM/DDMF,high,Workflow owner,,"Classifies user intent, affected entity, decision type, process stage, materiality, sensitivity, and required skill family. Use as the first routing step for requests that may involve BPI, DAM, DIM, DDMF, BUMN, or multiple functions."
02-orchestration,workflow-planner,"Converts an objective into ordered tasks, dependencies, evidence needs, specialist roles, challenge gates, approvals, and deliverables. Use when work requires multiple analytical steps or coordinated human and AI participation.",BPI/DAM/DIM/DDMF,high,Workflow owner,,"Converts an objective into ordered tasks, dependencies, evidence needs, specialist roles, challenge gates, approvals, and deliverables."
02-orchestration,skill-chain-composer,"Selects and sequences reusable skills into an end-to-end workflow while avoiding duplicated analysis and conflicting mandates. Use after routing when a request requires several domain, sector, governance, or assurance capabilities.",BPI/DAM/DIM/DDMF,high,Workflow owner,,"Selects and sequences reusable skills into an end-to-end workflow while avoiding duplicated analysis and conflicting mandates. Use after routing when a request requires several domain, sector, governance, or assurance capabilities."
02-orchestration,parallel-analysis-dispatcher,"Dispatches independent workstreams in parallel, defines non-overlapping scopes, and reconciles results. Use for due diligence, portfolio reviews, scenario studies, board preparation, or time-critical analysis requiring multiple specialists.",BPI/DAM/DIM/DDMF,high,Workflow owner,,"Dispatches independent workstreams in parallel, defines non-overlapping scopes, and reconciles results. Use for due diligence, portfolio reviews, scenario studies, board preparation, or time-critical analysis requiring multiple specialists."
02-orchestration,evidence-retrieval-orchestrator,"Plans and coordinates retrieval from approved internal and external sources, prioritizing authoritative, current, traceable evidence. Use when decisions require documents, data, benchmarks, regulations, market intelligence, or historical precedents.",BPI/DAM/DIM/DDMF,high,Information owner,,"Plans and coordinates retrieval from approved internal and external sources, prioritizing authoritative, current, traceable evidence."
02-orchestration,source-hierarchy-resolver,"Ranks conflicting sources by legal authority, ownership, recency, audit status, independence, and relevance; records unresolved discrepancies. Use when data, policies, valuations, or narratives disagree.",BPI/DAM/DIM/DDMF,high,Subject-matter owner,,"Ranks conflicting sources by legal authority, ownership, recency, audit status, independence, and relevance; records unresolved discrepancies."
02-orchestration,data-classification-router,"Routes information and tasks only to models, tools, repositories, locations, and users permitted by the applicable data classification. Use before any AI processing, connector call, cross-entity sharing, or external model use.",BPI/DAM/DIM/DDMF,critical,Data owner and security,,"Routes information and tasks only to models, tools, repositories, locations, and users permitted by the applicable data classification. Use before any AI processing, connector call, cross-entity sharing, or external model use."
02-orchestration,human-approval-orchestrator,"Maps risk-tiered outputs to required reviewers, approvers, recusals, quorum, conditions, and evidence of approval. Use whenever AI analysis may influence capital, governance, legal, personnel, disclosure, or strategic decisions.",BPI/DAM/DIM/DDMF,critical,Authorized approver,,"Maps risk-tiered outputs to required reviewers, approvers, recusals, quorum, conditions, and evidence of approval."
02-orchestration,red-team-orchestrator,"Assigns independent challengers to test thesis, valuation, assumptions, legal basis, governance, impact, execution, and downside without sharing the preferred answer. Use before material recommendations or committee decisions.",BPI/DAM/DIM/DDMF,critical,Independent review owner,,"Assigns independent challengers to test thesis, valuation, assumptions, legal basis, governance, impact, execution, and downside without sharing the preferred answer. Use before material recommendations or committee decisions."
02-orchestration,assumption-uncertainty-manager,"Registers assumptions, confidence, data gaps, sensitivities, disputed facts, and conditions that would change the recommendation. Use in forecasts, valuations, scenarios, due diligence, strategic plans, and incomplete-information decisions.",BPI/DAM/DIM/DDMF,high,Analysis owner,,"Registers assumptions, confidence, data gaps, sensitivities, disputed facts, and conditions that would change the recommendation. Use in forecasts, valuations, scenarios, due diligence, strategic plans, and incomplete-information decisions."
02-orchestration,tension-resolution-engine,"Frames and tests Danantara's core tensions: commercial return versus national mandate, independence versus direction, long-term value versus short-term intervention, transformation capital versus bailout, and transparency versus confidentiality. Use when objectives conflict.",BPI/DAM/DIM/DDMF,critical,Mandated decision authority,,"Frames and tests Danantara's core tensions: commercial return versus national mandate, independence versus direction, long-term value versus short-term intervention, transformation capital versus bailout, and transparency versus confidentiality."
02-orchestration,output-assembly-orchestrator,"Integrates specialist outputs into one decision-ready product with recommendation, alternatives, evidence, risks, dissent, approvals, and next actions. Use after multi-skill analysis or parallel workstreams.",BPI/DAM/DIM/DDMF,high,Document owner,,"Integrates specialist outputs into one decision-ready product with recommendation, alternatives, evidence, risks, dissent, approvals, and next actions. Use after multi-skill analysis or parallel workstreams."
02-orchestration,workflow-state-manager,"Tracks workflow stage, completed evidence, open issues, dependencies, decisions, approvals, deadlines, and handoffs. Use for long-running investments, transformations, restructurings, projects, and recurring portfolio reviews.",BPI/DAM/DIM/DDMF,medium,Program owner,,"Tracks workflow stage, completed evidence, open issues, dependencies, decisions, approvals, deadlines, and handoffs. Use for long-running investments, transformations, restructurings, projects, and recurring portfolio reviews."
02-orchestration,escalation-and-exception-router,"Escalates unresolved conflicts, missing authority, inadequate evidence, policy exceptions, critical risks, ethical concerns, or prohibited actions to the correct human body. Use whenever standard workflow cannot safely continue.",BPI/DAM/DIM/DDMF,critical,Designated escalation authority,,"Escalates unresolved conflicts, missing authority, inadequate evidence, policy exceptions, critical risks, ethical concerns, or prohibited actions to the correct human body."
03-knowledge-data,policy-knowledge-curator,"Curates approved policies, manuals, delegations, standards, templates, effective dates, superseded versions, and owners into a controlled knowledge base. Use when building or updating authoritative Danantara policy context.",BPI,high,Policy owner,,"Curates approved policies, manuals, delegations, standards, templates, effective dates, superseded versions, and owners into a controlled knowledge base."
03-knowledge-data,legal-regulatory-monitor,"Monitors applicable laws, regulations, decisions, standards, and official guidance; maps changes to affected entities, processes, documents, and controls. Use for regulatory horizon scanning and change-impact assessment.",BPI/DAM/DIM/DDMF,high,Legal owner,,"Monitors applicable laws, regulations, decisions, standards, and official guidance; maps changes to affected entities, processes, documents, and controls. Use for regulatory horizon scanning and change-impact assessment."
03-knowledge-data,portfolio-knowledge-graph,"Builds and queries relationships among entities, assets, ownership, boards, contracts, lenders, projects, risks, KPIs, transactions, and stakeholders. Use when analysis depends on cross-portfolio context or hidden dependencies.",BPI/DAM/DIM/DDMF,high,Data owner,,"Builds and queries relationships among entities, assets, ownership, boards, contracts, lenders, projects, risks, KPIs, transactions, and stakeholders."
03-knowledge-data,decision-precedent-retriever,"Retrieves comparable prior decisions, their rationale, assumptions, approvals, outcomes, and lessons without treating precedent as automatic authority. Use for board, investment, restructuring, policy, and exception decisions.",BPI/DAM/DIM/DDMF,medium,Decision owner,,"Retrieves comparable prior decisions, their rationale, assumptions, approvals, outcomes, and lessons without treating precedent as automatic authority. Use for board, investment, restructuring, policy, and exception decisions."
03-knowledge-data,benchmark-intelligence-manager,"Selects relevant global, regional, sector, sovereign-fund, and peer-company benchmarks; normalizes definitions and explains comparability limits. Use for performance targets, valuation, operating models, governance, and transformation ambition.",BPI/DAM/DIM/DDMF,medium,Analysis owner,,"Selects relevant global, regional, sector, sovereign-fund, and peer-company benchmarks; normalizes definitions and explains comparability limits. Use for performance targets, valuation, operating models, governance, and transformation ambition."
03-knowledge-data,data-quality-and-lineage-checker,"Tests completeness, accuracy, consistency, timeliness, ownership, reconciliation, transformations, and source lineage of decision data. Use before models, dashboards, consolidated reporting, valuations, and material recommendations.",BPI/DAM/DIM/DDMF,high,Data owner,,"Tests completeness, accuracy, consistency, timeliness, ownership, reconciliation, transformations, and source lineage of decision data. Use before models, dashboards, consolidated reporting, valuations, and material recommendations."
03-knowledge-data,document-evidence-extractor,"Extracts structured facts, obligations, assumptions, dates, financial terms, approvals, risks, and citations from documents while preserving page-level traceability. Use for contracts, board papers, reports, policies, studies, and data rooms.",BPI/DAM/DIM/DDMF,medium,Document owner,,"Extracts structured facts, obligations, assumptions, dates, financial terms, approvals, risks, and citations from documents while preserving page-level traceability. Use for contracts, board papers, reports, policies, studies, and data rooms."
03-knowledge-data,institutional-memory-capture,"Converts completed decisions, projects, negotiations, transformations, and incidents into reusable lessons, patterns, controls, and precedents. Use at milestones, post-mortems, leadership transitions, and workflow closure.",BPI/DAM/DIM/DDMF,medium,Knowledge owner,,"Converts completed decisions, projects, negotiations, transformations, and incidents into reusable lessons, patterns, controls, and precedents. Use at milestones, post-mortems, leadership transitions, and workflow closure."
04-bpi-control-tower,national-priority-alignment,"Maps proposals to formal national priorities, economic-transformation objectives, measurable outcomes, and responsible institutions. Use when a project or investment claims strategic-national relevance.",BPI,high,Strategy authority,,"Maps proposals to formal national priorities, economic-transformation objectives, measurable outcomes, and responsible institutions."
04-bpi-control-tower,strategic-national-interest-test,"Tests whether an action materially advances resilience, sovereignty, industrial capability, productivity, competitiveness, or long-term national value beyond ordinary commercial activity. Use for strategic designations and exceptional support.",BPI,critical,Mandated strategic authority,,"Tests whether an action materially advances resilience, sovereignty, industrial capability, productivity, competitiveness, or long-term national value beyond ordinary commercial activity. Use for strategic designations and exceptional support."
04-bpi-control-tower,enterprise-portfolio-synthesizer,"Produces a consolidated view of value, performance, risk, capital, impact, transformation, and concentration across the Danantara ecosystem. Use for enterprise reviews, supervisory reporting, and strategic capital allocation.",BPI,high,Executive/supervisory owner,,"Produces a consolidated view of value, performance, risk, capital, impact, transformation, and concentration across the Danantara ecosystem. Use for enterprise reviews, supervisory reporting, and strategic capital allocation."
04-bpi-control-tower,dam-dim-ddmf-boundary-router,"Determines whether an opportunity belongs primarily to active BUMN ownership, commercial investment, development finance, or coordinated treatment. Use when mandate overlap or funding-vehicle ambiguity exists.",BPI,critical,BPI authority,,"Determines whether an opportunity belongs primarily to active BUMN ownership, commercial investment, development finance, or coordinated treatment."
04-bpi-control-tower,cross-portfolio-synergy-finder,"Identifies measurable revenue, cost, capital, capability, technology, supply-chain, market-access, and risk synergies across portfolio entities. Use when evaluating collaboration, shared services, consolidation, or ecosystem strategies.",BPI/DAM,high,Portfolio owner,,"Identifies measurable revenue, cost, capital, capability, technology, supply-chain, market-access, and risk synergies across portfolio entities."
04-bpi-control-tower,transformation-agenda-orchestrator,"Coordinates enterprise-wide transformation themes, target architecture, waves, accountable owners, dependencies, benefits, and intervention thresholds. Use for multi-BUMN or cross-holding transformation programs.",BPI/DAM,high,Transformation sponsor,,"Coordinates enterprise-wide transformation themes, target architecture, waves, accountable owners, dependencies, benefits, and intervention thresholds. Use for multi-BUMN or cross-holding transformation programs."
04-bpi-control-tower,national-resilience-assessor,"Assesses exposure and response options for disruptions affecting energy, food, health, finance, digital systems, critical minerals, infrastructure, and strategic supply chains. Use for resilience investments and contingency decisions.",BPI/DIM/DDMF,high,Resilience owner,,"Assesses exposure and response options for disruptions affecting energy, food, health, finance, digital systems, critical minerals, infrastructure, and strategic supply chains. Use for resilience investments and contingency decisions."
04-bpi-control-tower,institutional-trust-monitor,"Evaluates how decisions, disclosures, governance, execution, and exceptions affect credibility, cost of capital, partner confidence, employee confidence, and public legitimacy. Use for sensitive or precedent-setting actions.",BPI,high,Executive/governance owner,,"Evaluates how decisions, disclosures, governance, execution, and exceptions affect credibility, cost of capital, partner confidence, employee confidence, and public legitimacy. Use for sensitive or precedent-setting actions."
04-bpi-control-tower,executive-board-brief-builder,"Builds concise decision briefs with issue, recommendation, alternatives, evidence, scenarios, risks, dissent, decision rights, approvals, and action tracking. Use for executive, supervisory, board, or committee meetings.",BPI/DAM/DIM/DDMF,high,Meeting owner,,"Builds concise decision briefs with issue, recommendation, alternatives, evidence, scenarios, risks, dissent, decision rights, approvals, and action tracking. Use for executive, supervisory, board, or committee meetings."
04-bpi-control-tower,public-accountability-packager,"Translates material performance, investments, transformations, risks, and impact into transparent, consistent, auditable public-accountability materials without exposing protected information. Use for reports, hearings, and public communications.",BPI,high,Disclosure owner,,"Translates material performance, investments, transformations, risks, and impact into transparent, consistent, auditable public-accountability materials without exposing protected information. Use for reports, hearings, and public communications."
05-dam-active-ownership,bumn-portfolio-segmenter,"Segments BUMN and assets by strategic role, economics, competitiveness, maturity, risk, ownership intent, and intervention need. Use to determine retain, transform, consolidate, partner, divest, liquidate, or monitor pathways.",DAM,high,DAM portfolio authority,,"Segments BUMN and assets by strategic role, economics, competitiveness, maturity, risk, ownership intent, and intervention need. Use to determine retain, transform, consolidate, partner, divest, liquidate, or monitor pathways."
05-dam-active-ownership,corporate-parenting-advantage,"Tests whether Danantara can create more value through governance, capital, talent, market access, technology, risk management, or synergy than an entity could create independently. Use before ownership interventions or retention decisions.",DAM,high,DAM portfolio authority,,"Tests whether Danantara can create more value through governance, capital, talent, market access, technology, risk management, or synergy than an entity could create independently. Use before ownership interventions or retention decisions."
